train_loss↓_step,train_llk,train_ellk,train_kl_z,train_ellk_lbd,train_kl_lbd,train_kl_lbd_ood,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl_z,val_ellk_lbd,val_kl_lbd,val_kl_lbd_ood,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
2047.3896484375,-200612.5625,-1791.1837158203125,7.033763885498047,-1071.579833984375,719.6038208007812,249.1721954345703,2047.3896484375,2047.3896484375,2021.5059814453125,1877.0736083984375,-238703.875,-1870.0576171875,7.015976428985596,-1184.8463134765625,685.2113037109375,-1.0,1885.3135986328125,-1885.3135986328125,-1878.3348388671875,0.08643264323472977,0.15732350945472717,0.024343375116586685,0.07018885761499405,0.10527396202087402,0.16640132665634155,0.2028104066848755,0.25631606578826904,0.17141585052013397
1755.558349609375,-172358.6875,-1538.9168701171875,7.106337547302246,-988.4295654296875,550.4872436523438,209.53521728515625,1755.558349609375,1755.558349609375,1937.61669921875,1816.126953125,-231059.671875,-1809.0028076171875,7.124195098876953,-1208.5830078125,600.4198608398438,-1.0,1809.1259765625,-1809.1259765625,-1802.017822265625,0.08564980328083038,0.1560811996459961,0.02401101216673851,0.06892244517803192,0.10459116101264954,0.16505581140518188,0.2033156007528305,0.2566658556461334,0.17556272447109222
1631.173828125,-152592.0625,-1362.42919921875,7.124436378479004,-739.6653442382812,622.763671875,261.62030029296875,1631.173828125,1631.173828125,1960.3653564453125,1800.0460205078125,-229043.25,-1793.016357421875,7.029678821563721,-1166.81787109375,626.1986083984375,-1.0,1828.21923828125,-1828.21923828125,-1821.229248046875,0.08685551583766937,0.15761105716228485,0.024421479552984238,0.0702660009264946,0.10572214424610138,0.16671013832092285,0.20478478074073792,0.2586859464645386,0.1701444536447525
1726.5654296875,-170725.5625,-1524.33544921875,7.044640064239502,-902.9068603515625,621.428466796875,195.18536376953125,1726.5654296875,1726.5654296875,1981.1207275390625,1780.262451171875,-226323.96875,-1773.15185546875,7.110638618469238,-1063.263671875,709.8880615234375,-1.0,1838.2740478515625,-1838.2740478515625,-1831.177978515625,0.08608735352754593,0.15674899518489838,0.0242142453789711,0.06933662295341492,0.1056099385023117,0.16616447269916534,0.20192071795463562,0.2546219229698181,0.17516982555389404
1898.76171875,-182308.609375,-1627.7554931640625,7.129388332366943,-947.5237426757812,680.231689453125,263.87689208984375,1898.76171875,1898.76171875,1974.54296875,1861.1917724609375,-236731.203125,-1854.0452880859375,7.146413326263428,-1152.8541259765625,701.1912231445312,-1.0,1833.835205078125,-1833.835205078125,-1826.7064208984375,0.08635898679494858,0.15632592141628265,0.024021917954087257,0.06848521530628204,0.10527333617210388,0.16551078855991364,0.2014985829591751,0.2545662522315979,0.1749047338962555
1983.3082275390625,-197499.859375,-1763.3917236328125,7.082425117492676,-1088.9205322265625,674.4710693359375,212.83413696289062,1983.3082275390625,1983.3082275390625,1989.5181884765625,1806.8143310546875,-229942.609375,-1799.773193359375,7.041106700897217,-1119.8486328125,679.9244995117188,-1.0,1852.4339599609375,-1852.4339599609375,-1845.4185791015625,0.08667308837175369,0.15706723928451538,0.024252813309431076,0.06951579451560974,0.10552814602851868,0.16623947024345398,0.20350688695907593,0.25697699189186096,0.17404700815677643
2023.0164794921875,-196975.5625,-1758.71044921875,7.248116970062256,-999.20361328125,759.5068969726562,257.0578308105469,2023.0164794921875,2023.0164794921875,2008.589111328125,1906.8367919921875,-242639.234375,-1899.6064453125,7.230264186859131,-1241.439697265625,658.1668701171875,-1.0,1908.139404296875,-1908.139404296875,-1900.9239501953125,0.08567691594362259,0.15693674981594086,0.024269336834549904,0.07016759365797043,0.1045261099934578,0.16576415300369263,0.2044564038515091,0.25792330503463745,0.17801503837108612
1940.4215087890625,-193416.03125,-1726.928955078125,6.898448944091797,-1038.643310546875,688.2855834960938,206.59410095214844,1940.4215087890625,1940.4215087890625,2009.234130859375,1818.316650390625,-231309.90625,-1811.3603515625,6.956095218658447,-1135.3038330078125,676.0565795898438,-1.0,1875.410400390625,-1875.410400390625,-1868.47900390625,0.08652903884649277,0.1571119874715805,0.024258878082036972,0.06975388526916504,0.10526642948389053,0.16613110899925232,0.2032567262649536,0.25650933384895325,0.1816207617521286
1776.8699951171875,-176795.1875,-1578.528564453125,7.115063190460205,-917.7994384765625,660.729248046875,191.2261505126953,1776.8699951171875,1776.8699951171875,1998.8089599609375,1834.1949462890625,-233349.421875,-1827.1209716796875,7.0740251541137695,-1040.8924560546875,786.228515625,-1.0,1841.9041748046875,-1841.9041748046875,-1834.830810546875,0.08613473922014236,0.15623949468135834,0.02403804287314415,0.0686456561088562,0.10588029772043228,0.16592462360858917,0.2024044245481491,0.2557643949985504,0.17386303842067719
2067.225341796875,-196498.875,-1754.454345703125,7.122071266174316,-1061.08154296875,693.3726806640625,305.64910888671875,2067.225341796875,2067.225341796875,2010.7843017578125,1902.6427001953125,-242090.46875,-1895.598388671875,7.044098854064941,-1219.1561279296875,676.4421997070312,-1.0,1911.0240478515625,-1911.0240478515625,-1903.99755859375,0.08680073916912079,0.15756236016750336,0.024418629705905914,0.0700589120388031,0.10545075684785843,0.16647422313690186,0.20204851031303406,0.255254864692688,0.17466199398040771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
