train_loss↓_step,train_llk,train_ellk,train_kl_z,train_ellk_lbd,train_kl_lbd,train_kl_lbd_ood,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl_z,val_ellk_lbd,val_kl_lbd,val_kl_lbd_ood,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
2093.341796875,-192949.265625,-1722.7613525390625,7.073334693908691,-763.3228759765625,959.4385375976562,363.5071105957031,2093.341796875,2093.341796875,2314.129150390625,2152.224365234375,-273858.75,-2145.111328125,7.113018989562988,-1085.8389892578125,1059.2723388671875,-1.0,2197.76416015625,-2197.76416015625,-2190.66064453125,0.08589409291744232,0.1894945502281189,0.03597012907266617,0.10871318727731705,0.11176835745573044,0.19874723255634308,0.12447439134120941,0.1914721131324768,0.07436070591211319
2329.850341796875,-223338.453125,-1994.0933837890625,7.322264671325684,-978.4783325195312,1015.6150512695312,328.43450927734375,2329.850341796875,2329.850341796875,2238.009521484375,2090.760986328125,-266084.75,-2083.456298828125,7.304570198059082,-1038.4508056640625,1045.005615234375,-1.0,2089.99072265625,-2089.99072265625,-2082.70458984375,0.08385632187128067,0.18827937543392181,0.035660259425640106,0.10987993329763412,0.11053358018398285,0.19787485897541046,0.1259227991104126,0.19307595491409302,0.07705329358577728
2372.556884765625,-227234.5,-2028.8795166015625,7.297448635101318,-1007.40380859375,1021.475830078125,336.3797607421875,2372.556884765625,2372.556884765625,2292.544677734375,2141.102294921875,-272567.75,-2133.8310546875,7.2714715003967285,-1081.9298095703125,1051.9012451171875,-1.0,2092.0673828125,-2092.0673828125,-2084.80029296875,0.08472418785095215,0.1887461245059967,0.036058709025382996,0.10906552523374557,0.11206960678100586,0.19918487966060638,0.12610791623592377,0.1935892552137375,0.07427740097045898
2094.47021484375,-197203.0,-1760.7412109375,7.42356538772583,-664.6834716796875,1096.0576171875,326.3055725097656,2094.47021484375,2094.47021484375,2323.116455078125,2179.681884765625,-277409.90625,-2172.348388671875,7.333809852600098,-1117.2139892578125,1055.13427734375,-1.0,2170.754150390625,-2170.754150390625,-2163.441650390625,0.08519682288169861,0.1888364553451538,0.03580275923013687,0.10851184278726578,0.11097604036331177,0.19810259342193604,0.12413112819194794,0.19158996641635895,0.07228707522153854
2115.885986328125,-198304.875,-1770.579345703125,7.049484729766846,-706.8133544921875,1063.7659912109375,338.2570495605469,2115.885986328125,2115.885986328125,2207.34814453125,2075.939697265625,-264187.40625,-2068.806640625,7.133066177368164,-1056.7156982421875,1012.0910034179688,-1.0,2053.513671875,-2053.513671875,-2046.3924560546875,0.08439590781927109,0.1878841072320938,0.035586196929216385,0.10797736793756485,0.11170691251754761,0.19776766002178192,0.12588249146938324,0.1923174113035202,0.07534852623939514
2282.5703125,-213791.171875,-1908.849853515625,7.14470100402832,-864.0953369140625,1044.7545166015625,366.57586669921875,2282.5703125,2282.5703125,2211.080078125,1994.074462890625,-253599.015625,-1986.7034912109375,7.371053218841553,-963.968505859375,1022.7349853515625,-1.0,2052.221923828125,-2052.221923828125,-2044.833984375,0.08447396010160446,0.1884462684392929,0.03579525277018547,0.10863097012042999,0.11170938611030579,0.19857122004032135,0.1263853758573532,0.1937265694141388,0.07755329459905624
2177.928955078125,-201706.015625,-1800.9466552734375,7.374257564544678,-817.8186645507812,983.1279907226562,369.60797119140625,2177.928955078125,2177.928955078125,2178.5458984375,2063.249267578125,-262519.15625,-2056.02783203125,7.221654415130615,-985.6234130859375,1070.404296875,-1.0,2040.84716796875,-2040.84716796875,-2033.64599609375,0.08411780744791031,0.187702015042305,0.03551699221134186,0.10822504758834839,0.11146672070026398,0.19794264435768127,0.1262390911579132,0.19348181784152985,0.08111778646707535
2366.18310546875,-227620.34375,-2032.3245849609375,7.5610480308532715,-891.8555297851562,1140.4691162109375,326.2972412109375,2366.18310546875,2366.18310546875,2318.869140625,2167.890380859375,-275807.5,-2160.3701171875,7.520449161529541,-1060.41845703125,1099.9515380859375,-1.0,2179.47021484375,-2179.47021484375,-2171.96728515625,0.08494070172309875,0.18825502693653107,0.03559412062168121,0.10802910476922989,0.11064216494560242,0.19767938554286957,0.12485412508249283,0.19265325367450714,0.072834312915802
2463.248291015625,-229680.25,-2050.716552734375,7.2841668128967285,-964.12646484375,1086.59033203125,405.24737548828125,2463.248291015625,2463.248291015625,2354.56787109375,2134.759765625,-271647.28125,-2127.474609375,7.2851948738098145,-1092.0731201171875,1035.4013671875,-1.0,2176.375244140625,-2176.375244140625,-2169.1083984375,0.08460333198308945,0.1879204511642456,0.03556344658136368,0.10783915966749191,0.11089789867401123,0.19738547503948212,0.12555080652236938,0.19263306260108948,0.07361899316310883
1991.2078857421875,-183906.453125,-1642.02197265625,7.37727165222168,-726.3141479492188,915.7078247070312,341.8086853027344,1991.2078857421875,1991.2078857421875,2181.299072265625,2049.43359375,-260749.90625,-2042.1064453125,7.327106952667236,-1043.795654296875,998.3108520507812,-1.0,2069.879638671875,-2069.879638671875,-2062.57080078125,0.08419333398342133,0.18808022141456604,0.035558391362428665,0.108577661216259,0.11067153513431549,0.19766750931739807,0.1252630650997162,0.1925450712442398,0.07665508985519409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
