train_loss↓_step,train_llk,train_ellk,train_kl,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
-2258.4501953125,253759.40625,2265.708984375,7.258881092071533,-2258.4501953125,-2258.4501953125,-2220.90087890625,-186.76116943359375,24580.130859375,194.03414916992188,7.272963523864746,150.87229919433594,-150.87229919433594,-143.6429443359375,0.08591604977846146,0.1900523155927658,0.037637513130903244,0.10968053340911865,0.13126318156719208,0.27694210410118103,0.0,0.0,0.0
-2365.573974609375,265758.9375,2372.84765625,7.273702621459961,-2365.573974609375,-2365.573974609375,-2275.340087890625,2788.75927734375,-355285.15625,-2781.50732421875,7.25237512588501,1464.9422607421875,-1464.9422607421875,-1457.6888427734375,0.08442071825265884,0.18748241662979126,0.03894612193107605,0.1286260038614273,0.1299060732126236,0.2759861946105957,0.0,0.0,0.0
-2275.725830078125,255674.109375,2282.8046875,7.078939437866211,-2275.725830078125,-2275.725830078125,-2251.6826171875,2591.43115234375,-331389.09375,-2584.224609375,7.206276893615723,3540.894287109375,-3540.894287109375,-3533.726318359375,0.08453124761581421,0.1890667974948883,0.039251659065485,0.13219128549098969,0.1311677098274231,0.2792956829071045,0.0,0.0,0.0
-2346.35205078125,263572.90625,2353.32958984375,6.977760314941406,-2346.35205078125,-2346.35205078125,-2303.239013671875,168.13778686523438,-21158.525390625,-161.19761657714844,6.9402031898498535,323.431396484375,-323.431396484375,-316.51763916015625,0.08438339829444885,0.18802998960018158,0.0368957556784153,0.1068786159157753,0.12822966277599335,0.273994117975235,0.0,0.0,0.0
-2250.339111328125,252857.234375,2257.654052734375,7.314931392669678,-2250.339111328125,-2250.339111328125,-2259.131103515625,1307.404052734375,-166775.875,-1300.1229248046875,7.281251430511475,714.1558837890625,-714.1558837890625,-706.8651123046875,0.08484012633562088,0.18895013630390167,0.04373413696885109,0.16101349890232086,0.13537871837615967,0.28700998425483704,0.0,0.0,0.0
-2272.099365234375,255267.375,2279.173095703125,7.073620796203613,-2272.099365234375,-2272.099365234375,-2280.542724609375,1395.7362060546875,-178042.171875,-1388.5521240234375,7.183990001678467,322.4112548828125,-322.4112548828125,-315.2502136230469,0.08400028944015503,0.18797211349010468,0.03732648864388466,0.10878974944353104,0.12879212200641632,0.2730708718299866,0.0,0.0,0.0
-2367.123046875,265931.3125,2374.38671875,7.263906002044678,-2367.123046875,-2367.123046875,-2271.93798828125,769.398193359375,-97874.1328125,-762.1395874023438,7.2584919929504395,1126.6856689453125,-1126.6856689453125,-1119.453857421875,0.08387381583452225,0.18777090311050415,0.03837859258055687,0.13834603130817413,0.12937258183956146,0.27531909942626953,0.0,0.0,0.0
-2374.2236328125,266745.78125,2381.658935546875,7.435441970825195,-2374.2236328125,-2374.2236328125,-2274.674072265625,2104.802734375,-269063.15625,-2097.509765625,7.2931694984436035,852.6768798828125,-852.6768798828125,-845.40087890625,0.08437401801347733,0.18840037286281586,0.04014478623867035,0.12869426608085632,0.131378173828125,0.2797479033470154,0.0,0.0,0.0
-2228.999755859375,250470.875,2236.34716796875,7.347562789916992,-2228.999755859375,-2228.999755859375,-2259.689208984375,227.7434539794922,-27878.68359375,-220.34454345703125,7.398946762084961,728.0940551757812,-728.0940551757812,-720.686767578125,0.08505160361528397,0.1885693520307541,0.038758013397455215,0.11616074293851852,0.13151398301124573,0.2783522605895996,0.0,0.0,0.0
-2337.548828125,262622.9375,2344.84765625,7.29901647567749,-2337.548828125,-2337.548828125,-2259.00390625,3581.218017578125,-454920.625,-3573.9736328125,7.244527339935303,2240.342041015625,-2240.342041015625,-2233.135498046875,0.08389020711183548,0.1875186711549759,0.03934592753648758,0.13477139174938202,0.13028517365455627,0.27903681993484497,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
-2307.6435791015624,259266.0875,2314.8758544921875,7.232376289367676,-2307.6435791015624,-2307.6435791015624,-2265.61416015625,1474.7869705200196,-187780.72890625,-1467.5537979125977,7.233219575881958,1146.450602722168,-1146.450602722168,-1139.2368072509767,0.08452814742922783,0.18838130682706833,0.039041899517178534,0.1265152119100094,0.13072873800992965,0.2778755038976669,0.0,0.0,0.0
55.66775135979952,6236.006395477981,55.67860989647174,0.14249359514681043,55.66775135979952,55.66775135979952,21.523511833221026,1263.259465947977,161141.63875798552,1263.2467905942606,0.1178924609774528,1044.9650801986686,1044.9650801986686,1044.9611516196953,0.0006207182861393062,0.0008053335267945627,0.0019270153449750978,0.016766684822440543,0.0019957612027960733,0.00393930402711095,0.0,0.0,0.0
