train_loss↓_step,train_loss↓,eval_loss↓,train_loss↓_epoch,test_loss↓,test_elbo↑,test_marginal_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_expected_log_likelihood↑,test_kl_divergence↓,noise_expected_log_likelihood↓,noise_kl_divergence↓
0.7131019830703735,0.7131019830703735,1.279646873474121,0.7131019830703735,0.6245498657226562,-0.6245498657226562,-936.4852294921875,0.15358424186706543,0.20664027333259583,5.4582624435424805,6.394927501678467,1.1613024473190308,2.43951153755188,-1.0598136186599731,0.18928620219230652,-0.871377170085907,0.03359191119670868
0.7187367677688599,0.7187367677688599,1.154866099357605,0.7187367677688599,0.6396272778511047,-0.6396272778511047,-984.2734985351562,0.22718873620033264,0.30775442719459534,5.391208171844482,6.276223182678223,1.2253355979919434,2.0871496200561523,-1.098800778388977,0.18045377731323242,-0.879682719707489,0.033961229026317596
0.7658063769340515,0.7658063769340515,1.3970445394515991,0.7658063769340515,0.6383222341537476,-0.6383222341537476,-962.7998657226562,0.1620704084634781,0.2270077019929886,5.324844837188721,6.016885757446289,1.0824451446533203,1.6345653533935547,-1.0852391719818115,0.19140522181987762,-0.8803542852401733,0.032091833651065826
0.7023526430130005,0.7023526430130005,1.466509222984314,0.7023526430130005,0.6322348117828369,-0.6322348117828369,-978.2542724609375,0.2510988414287567,0.37922489643096924,4.973912239074707,5.705299377441406,1.1698724031448364,1.9916471242904663,-1.095047116279602,0.16942240297794342,-0.8383590579032898,0.03513549268245697
0.7439534664154053,0.7439534664154053,1.5280596017837524,0.7439534664154053,0.6709786057472229,-0.6709786057472229,-1016.3251953125,0.2431221306324005,0.4559534788131714,5.415593147277832,6.30740213394165,1.1824151277542114,1.864881992340088,-1.1449400186538696,0.19701716303825378,-0.8518279790878296,0.034092310816049576
0.7216366529464722,0.7216366529464722,1.26432204246521,0.7216366529464722,0.6313239932060242,-0.6313239932060242,-963.22607421875,0.19178344309329987,0.306661993265152,5.12846040725708,5.790816783905029,1.1257580518722534,1.8496613502502441,-1.082427978515625,0.18021999299526215,-0.8589742183685303,0.02490946277976036
0.7526780962944031,0.7526780962944031,1.209700345993042,0.7526780962944031,0.6686776280403137,-0.6686776280403137,-1017.6632080078125,0.2602263391017914,0.3850807845592499,5.864633083343506,6.938019752502441,1.207144021987915,2.6639328002929688,-1.1317368745803833,0.2056184858083725,-0.8503178954124451,0.03197002783417702
0.709786593914032,0.709786593914032,1.2987722158432007,0.709786593914032,0.6049299240112305,-0.6049299240112305,-917.2313842773438,0.1339442878961563,0.18136079609394073,5.07010555267334,5.816919326782227,1.1095691919326782,1.8238914012908936,-1.0428454875946045,0.16701431572437286,-0.8737248182296753,0.030906688421964645
0.7102360129356384,0.7102360129356384,1.3505816459655762,0.7102360129356384,0.6635047793388367,-0.6635047793388367,-1028.0281982421875,0.33351314067840576,0.5024079084396362,5.881924152374268,7.68900728225708,1.1902635097503662,2.0026822090148926,-1.142905831336975,0.1841038167476654,-0.8834214806556702,0.03453952819108963
0.7245938181877136,0.7245938181877136,1.7573089599609375,0.7245938181877136,0.6565771698951721,-0.6565771698951721,-1000.748046875,0.26491984724998474,0.3957255780696869,5.295990467071533,6.022645950317383,1.1378511190414429,1.7872194051742554,-1.113893747329712,0.1992606669664383,-0.848938524723053,0.03820837661623955
0.7191028594970703,0.7191028594970703,1.4494750499725342,0.7191028594970703,0.6378853917121887,-0.6378853917121887,-974.5752563476562,0.21026268601417542,0.30245304107666016,5.090060710906982,5.691325664520264,1.0847493410110474,1.6423641443252563,-1.0914713144302368,0.184299498796463,-0.8740912079811096,0.029169896617531776
