train_loss↓_step,train_llk,train_ellk,train_kl,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
-1164.37353515625,131187.71875,1171.3189697265625,6.945598602294922,-1164.37353515625,-1164.37353515625,-1562.4273681640625,434.8196716308594,-55135.125,-427.8756103515625,6.944149971008301,-97.52310180664062,97.52310180664062,104.43840026855469,0.08676298707723618,0.15854999423027039,0.026945913210511208,0.07166591286659241,0.1291695386171341,0.22540515661239624,0.0,0.0,0.0
-1719.292236328125,193346.5625,1726.3087158203125,7.016484260559082,-1719.292236328125,-1719.292236328125,-1602.7005615234375,-916.4579467773438,117720.6328125,923.5126953125,7.054752826690674,-615.1655883789062,615.1655883789062,622.2044677734375,0.08565361797809601,0.15653491020202637,0.026034031063318253,0.06284993886947632,0.1286805421113968,0.2239212691783905,0.0,0.0,0.0
-1591.6248779296875,179074.3125,1598.8778076171875,7.252941131591797,-1591.6248779296875,-1591.6248779296875,-1568.4031982421875,-841.780029296875,108165.1328125,848.9442749023438,7.164248466491699,-879.8361206054688,879.8361206054688,886.9769897460938,0.085994191467762,0.1563808172941208,0.02636188268661499,0.10278500616550446,0.12897229194641113,0.22482319176197052,0.0,0.0,0.0
-1671.24169921875,187961.5625,1678.228271484375,6.986516952514648,-1671.24169921875,-1671.24169921875,-1592.9710693359375,-1104.3427734375,141790.703125,1111.326904296875,6.984122276306152,-634.4575805664062,634.4575805664062,641.4296875,0.08613089472055435,0.1571255922317505,0.025860406458377838,0.06308288872241974,0.12856781482696533,0.22346770763397217,0.0,0.0,0.0
-1683.8421630859375,189390.0625,1690.9827880859375,7.140679836273193,-1683.8421630859375,-1683.8421630859375,-1611.7825927734375,-198.72474670410156,25890.453125,205.84170532226562,7.116933822631836,-646.6144409179688,646.6144409179688,653.7127685546875,0.08641919493675232,0.15647263824939728,0.028605636209249496,0.0673382431268692,0.13584616780281067,0.2334873229265213,0.0,0.0,0.0
-1674.1097412109375,188278.71875,1681.06005859375,6.950376510620117,-1674.1097412109375,-1674.1097412109375,-1563.8587646484375,-1218.5042724609375,156337.3125,1225.4656982421875,6.961448669433594,-1023.5086059570312,1023.5086059570312,1030.4439697265625,0.08674971014261246,0.15703415870666504,0.026355504989624023,0.06770069897174835,0.1295173317193985,0.22443974018096924,0.0,0.0,0.0
-1671.7901611328125,188037.96875,1678.9105224609375,7.120236873626709,-1671.7901611328125,-1671.7901611328125,-1571.8758544921875,-1249.30322265625,160876.625,1256.4197998046875,7.116438865661621,-1008.3095703125,1008.3095703125,1015.406005859375,0.0859292596578598,0.15679049491882324,0.026111626997590065,0.06927699595689774,0.12745831906795502,0.22318513691425323,0.0,0.0,0.0
-1597.0628662109375,179655.0,1604.0626220703125,6.999788284301758,-1597.0628662109375,-1597.0628662109375,-1584.8555908203125,-561.1790161132812,72604.1171875,568.250732421875,7.071696758270264,-294.36358642578125,294.36358642578125,301.41510009765625,0.08650398254394531,0.157388836145401,0.025133367627859116,0.06554535776376724,0.12557820975780487,0.21861882507801056,0.0,0.0,0.0
-1579.5565185546875,177687.3125,1586.493896484375,6.937272071838379,-1579.5565185546875,-1579.5565185546875,-1576.81787109375,-16.546459197998047,2576.21875,23.504541397094727,6.957993507385254,168.1477813720703,-168.1477813720703,-161.20176696777344,0.08748836815357208,0.15863627195358276,0.028438888490200043,0.06725817918777466,0.13610559701919556,0.233695849776268,0.0,0.0,0.0
-1628.6800537109375,183188.21875,1635.609130859375,6.9292473793029785,-1628.6800537109375,-1628.6800537109375,-1578.065185546875,-119.57337188720703,17340.0859375,126.51654052734375,6.943023204803467,-518.6427001953125,518.6427001953125,525.5655517578125,0.08653198927640915,0.15727494657039642,0.02697594277560711,0.06728209555149078,0.13144221901893616,0.22733986377716064,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
-1598.1573852539063,179780.74375,1605.1852783203126,7.027914190292359,-1598.1573852539063,-1598.1573852539063,-1581.3758056640625,-579.1592166900634,74816.615625,586.190728187561,7.031480836868286,-555.0273513793945,555.0273513793945,562.0391174316406,0.08641641959547997,0.15721886605024338,0.026682320050895214,0.07047853171825409,0.1301338031888008,0.22583840638399125,0.0,0.0,0.0
159.17751169502858,17830.946444454126,159.2048887384675,0.10814147898018327,159.17751169502858,159.17751169502858,16.606690611059047,579.019487778406,74011.03652072878,579.0516096995467,0.08320349010021771,387.3436614364244,387.3436614364244,387.3825334454251,0.0005249644222199841,0.0008004354696315512,0.001104064526536739,0.011652156045704694,0.003417930964805248,0.004644377355982952,0.0,0.0,0.0
